Date	Open*	High	Low	Close**	Volume	Market Cap
Sep 29, 2022	$19,427.78	$19,589.27	$18,924.35	$19,573.05	$41,037,843,771	$375,100,872,175
Sep 28, 2022	$19,104.62	$19,688.34	$18,553.30	$19,426.72	$53,071,298,734	$372,279,603,227
Sep 27, 2022	$19,221.84	$20,338.46	$18,915.67	$19,110.55	$58,571,439,619	$366,202,733,264
Sep 26, 2022	$18,803.90	$19,274.87	$18,721.29	$19,222.67	$44,148,798,321	$368,335,944,296
Sep 25, 2022	$18,936.31	$19,134.73	$18,696.47	$18,802.10	$23,359,966,112	$360,259,346,858
Sep 24, 2022	$19,296.99	$19,310.20	$18,861.97	$18,937.01	$26,149,643,168	$362,826,506,172
Sep 23, 2022	$19,412.40	$19,464.67	$18,617.55	$19,297.64	$38,896,078,052	$369,718,966,325
Sep 22, 2022	$18,534.65	$19,456.91	$18,415.59	$19,413.55	$41,135,767,926	$371,923,967,755
Sep 21, 2022	$18,891.28	$19,674.63	$18,290.32	$18,547.40	$46,363,793,975	$355,314,855,624
Sep 20, 2022	$19,545.59	$19,602.46	$18,813.46	$18,890.79	$36,791,346,508	$361,876,433,047
Sep 19, 2022	$19,418.57	$19,639.48	$18,390.32	$19,544.13	$40,177,002,624	$374,373,522,207
Sep 18, 2022	$20,127.23	$20,127.23	$19,387.49	$19,419.51	$31,254,779,144	$371,970,445,843
Sep 17, 2022	$19,777.03	$20,162.53	$19,777.03	$20,127.58	$24,957,448,100	$385,513,277,845
Sep 16, 2022	$19,704.01	$19,870.63	$19,400.08	$19,772.58	$30,123,362,273	$378,693,173,324
Sep 15, 2022	$20,242.29	$20,318.17	$19,636.73	$19,701.21	$36,389,011,503	$377,311,288,517
Sep 14, 2022	$20,184.56	$20,467.20	$19,793.40	$20,241.09	$37,872,380,889	$387,631,908,835
Sep 13, 2022	$22,371.48	$22,673.82	$20,062.67	$20,296.71	$51,091,116,622	$388,682,319,976
Sep 12, 2022	$21,770.15	$22,439.18	$21,603.90	$22,370.45	$50,212,088,965	$428,373,958,242
Sep 11, 2022	$21,678.54	$21,770.55	$21,406.94	$21,769.26	$34,493,951,963	$416,840,289,162
Sep 10, 2022	$21,376.91	$21,760.28	$21,168.72	$21,680.54	$36,913,738,894	$415,117,548,315
Sep 09, 2022	$19,328.14	$21,439.41	$19,310.96	$21,381.15	$48,469,528,171	$409,363,809,141
Sep 08, 2022	$19,289.94	$19,417.35	$19,076.71	$19,329.83	$32,194,477,850	$370,071,738,763
Sep 07, 2022	$18,837.68	$19,427.17	$18,644.47	$19,290.32	$35,239,757,134	$369,299,496,559
Sep 06, 2022	$19,817.72	$20,155.27	$18,800.17	$18,837.67	$43,403,978,910	$360,616,650,169
Sep 05, 2022	$19,988.79	$20,031.16	$19,673.05	$19,812.37	$28,813,460,025	$379,258,182,345
Sep 04, 2022	$19,832.47	$19,999.69	$19,636.82	$19,986.71	$25,245,861,652	$382,576,542,382
